[2268, 18816]
[3404, 18830]
[2464, 18854]
[1652, 18878]
[4020, 18900]
[1152, 18914]
[684, 18937]
[3444, 18962]
[1152, 18991]
[888, 19011]
[264, 19034]
[4380, 19035]
[5196, 19063]
[3920, 19070]
[3640, 19083]
[480, 19108]
[700, 19135]
[3500, 19144]
[1808, 19167]
[888, 19193]
[1948, 19222]
[180, 19226]
[3408, 19227]
[4264, 19255]
[3008, 19277]
[2188, 19303]
[1808, 19310]
[5968, 19320]
[100, 19349]
[2460, 19350]
[7732, 19369]
[12048, 19395]
[7460, 19414]
[7156, 19430]
[368, 19432]
[3712, 19438]
[5280, 19445]
[10240, 19475]
[7732, 19483]
[3840, 19486]
[3516, 19497]
[4236, 19518]
[668, 19530]
[1152, 19560]
[696, 19566]
[280, 19579]
[3064, 19604]
[8512, 19622]
[1116, 19636]
[1284, 19658]
[1152, 19678]
[848, 19693]
[184, 19700]
[3444, 19701]
[5856, 19709]
[1132, 19732]
[2740, 19754]
[2272, 19764]
[1428, 19778]
[524, 19787]
[20, 19816]
[1404, 19817]
[4212, 19833]
[6364, 19840]
[2036, 19864]
[4836, 19883]
[2652, 19903]
[1044, 19921]
[448, 19934]
[1748, 19946]
[1772, 19956]
[5252, 19972]
[1612, 19992]
[996, 20001]
[480, 20014]
[1192, 20035]
[5252, 20062]
[6364, 20072]
[5236, 20100]
[4620, 20103]
[4220, 20132]
[604, 20152]
[4628, 20155]
[5992, 20168]
[2992, 20194]
[3508, 20202]
[3804, 20227]
[1208, 20251]
[3120, 20258]
[4228, 20285]
[5996, 20293]
[5724, 20316]
[4544, 20317]
[852, 20332]
[2304, 20360]
[392, 20383]
[6012, 20384]
[7772, 20385]
[9660, 20402]
[9604, 20417]
[5804, 20422]
[5540, 20423]
[2204, 20424]
[884, 20449]
[1268, 20475]
[372, 20485]
[992, 20491]
[2268, 20515]
[504, 20534]
[2652, 20554]
[4620, 20556]
[6636, 20581]
[4620, 20596]
[2740, 20621]
[3664, 20648]
[5164, 20666]
[1860, 20688]
[7764, 20694]
[348, 20721]
[76, 20734]
[136, 20764]
[2868, 20765]
[4240, 20778]
[2388, 20806]
[2268, 20820]
[3964, 20846]
